Feature_002,Feature_003,Feature_004,Feature_005,Feature_006,Feature_007,Feature_008,Feature_009,Feature_010,Feature_011,Feature_012,Feature_013,Feature_014,Feature_015,Feature_016,Feature_017,Feature_018,Feature_019,Feature_020,Feature_023,Feature_024,Feature_025,Feature_026,Feature_028,Feature_029,Feature_030,Feature_031,Feature_001__time_bucket,Feature_021,Feature_022,Feature_027,Feature_001__hour,Missing_Count,Feature_022_is_outlier
Monday,Over 51,Male,Junior high school,Employee,2-5yr,Stationwagen,Governmental,__MISSING__,__MISSING__,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,1.0,,15.0,6.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,__MISSING__,Owner,__MISSING__,No defect,Recreational areas,other,__MISSING__,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Moving Backward,afternoon,2.0,1.0,3.0,13.0,3.0,0.0
Monday,Over 51,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,5-10yrs,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,afternoon,1.0,2.0,3.0,13.0,1.0,0.0
Monday,18-30,Male,__MISSING__,Owner,Below 1yr,Automobile,Other,1-2yr,No defect,Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Other,morning,2.0,1.0,,8.0,5.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Driver,Normal,Not a Pedestrian,Moving Backward,afternoon,2.0,2.0,2.0,15.0,1.0,0.0
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,morning,2.0,1.0,3.0,8.0,0.0,0.0
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Motorcycle,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,__MISSING__,Moving Backward,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,morning,2.0,3.0,,11.0,8.0,0.0
Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Normal,Not a Pedestrian,Driving under the influence of drugs,afternoon,2.0,1.0,,17.0,7.0,0.0
Tuesday,Under 18,Male,Above high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,__MISSING__,Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,Going straight,Driver or rider,Male,18-30,Other,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,4.0,2.0,18.0,1.0,1.0
Saturday,31-50,Male,High school,Employee,1-2yr,Automobile,Organization,2-5yrs,__MISSING__,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Passenger,Female,Over 51,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,2.0,3.0,12.0,1.0,0.0
